fgi_bucket,account,trades,avg_pnl,total_pnl
fear,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,512,66.3671875,33980.0
fear,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,345,788.8681484347827,272159.51121
fear,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,395,74.16573087594936,29295.463696
fear,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1104,5.2291041186594205,5772.930947
fear,0x8170715b3b381dffb7062c0298972d4727a0a63b,521,22.70155037619962,11827.507746000001
fear,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,56,-86.16957782142858,-4825.496358
fear,0x8477e447846c758f5a675856001ea72298fd9cb5,616,2.9115460503246755,1793.512367
fear,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,76,45.07843355263158,3425.96095
fear,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,450,4.084016248888889,1837.8073120000001
fear,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,6,-208.22193666666666,-1249.33162
fear,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,80,7.780134875,622.41079
fear,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,32,227.0625,7266.0
fear,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,939,12.662445370607028,11890.036203
fear,0xb899e522b5715391ae1d4f137653e7906c5e2115,2104,-13.305206194391635,-27994.153833
fear,0xbaaaf6571ab7d571043ff1e313a9609a10637864,8780,30.91794021492027,271459.515087
fear,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,353,238.01414275637393,84018.992393
fear,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,6490,0.399562385670262,2593.1598830000003
greed,0x083384f897ee0f19899168e3b1bec365f52a9012,564,354.6263655797872,200009.270187
greed,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2450,12.438649018775509,30474.690096
greed,0x271b280974205ca63b716753467d5a371de622ab,539,-185.5655034768089,-100019.806374
greed,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,3762,10.32809818181818,38854.30536
greed,0x2c229d22b100a7beb69122eed721cee9b24011dd,471,38.392976690021236,18083.092021
greed,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,27,-340.53273333333334,-9194.3838
greed,0x39cef799f8b69da1995852eea189df24eb5cae3c,67,158.08597395522386,10591.760255
greed,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,26,163.0698608846154,4239.816383
greed,0x420ab45e0bd8863569a5efbb9c05d91f40624641,102,140.31834539215689,14312.471230000001
greed,0x430f09841d65beb3f27765503d0f850b8bce7713,455,193.59338977582416,88084.992348
greed,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3816,11.502111466457022,43892.057356
