fgi_bucket,trades_count,mean_pnl,median_pnl,win_rate
neutral,58035,49.73766233459119,0.0,0.39862152149564917
greed,48197,40.11072237423491,0.0,0.4110629292279602
neutral_fear,41201,46.66351218645179,0.0,0.45358122375670495
extreme_greed,32421,74.74326748357547,0.0,0.4436939021004904
fear,30474,36.931008606845175,0.0,0.3477390562446676
extreme_fear,890,-41.039514064044944,0.0,0.27752808988764044
unknown,6,7078.6656883333335,8057.245408000001,1.0
