,extreme_fear,extreme_greed,fear,greed,neutral,neutral_fear,unknown
extreme_fear,1.0,7.850312473863644e-46,1.7508836719759122e-13,6.367408626838126e-24,2.120718464302192e-25,2.327082813079203e-42,2.532271771975684e-06
extreme_greed,7.850312473863644e-46,1.0,2.783396646585271e-175,5.886030231463186e-82,1.7849629544769492e-75,0.12310236360136052,0.0008319330849752439
fear,1.7508836719759122e-13,2.783396646585271e-175,1.0,2.0936238345007046e-31,7.364931873683621e-42,9.53597774998466e-162,6.532341237677137e-05
greed,6.367408626838126e-24,5.886030231463186e-82,2.0936238345007046e-31,1.0,1.0,2.2084794526838874e-68,0.0001803528575053013
neutral,2.120718464302192e-25,1.7849629544769492e-75,7.364931873683621e-42,1.0,1.0,6.351563950455813e-62,0.0002026481612976391
neutral_fear,2.327082813079203e-42,0.12310236360136052,9.53597774998466e-162,2.2084794526838874e-68,6.351563950455813e-62,1.0,0.0006686334095500845
unknown,2.532271771975684e-06,0.0008319330849752439,6.532341237677137e-05,0.0001803528575053013,0.0002026481612976391,0.0006686334095500845,1.0
